ip,isBad
185.208.211.173,TRUE
54.39.139.67,TRUE
104.24.103.192,TRUE
66.154.98.108,TRUE
185.20.185.76,TRUE
107.175.64.209,TRUE
64.188.25.205,TRUE
66.206.18.186,TRUE
23.19.227.235,TRUE
45.128.134.14,TRUE
198.23.200.241,TRUE
95.179.242.27,TRUE
95.179.156.97,TRUE
95.179.242.6,TRUE
199.247.25.102,TRUE
95.179.210.61,TRUE
199.247.25.10,TRUE
216.38.7.245,TRUE
210.59.228.172,TRUE
103.46.239.70,TRUE
185.70.107.206,TRUE
185.144.83.78,TRUE
67.231.149.113,TRUE
35.174.203.189,TRUE
35.175.22.10,TRUE
104.160.44.85,TRUE
123.51.185.75,TRUE
69.172.75.223,TRUE
184.168.221.45,TRUE
192.185.4.103,TRUE
162.255.119.170,TRUE
160.153.74.99,TRUE
192.64.119.101,TRUE
50.63.202.53,TRUE
209.141.38.71,TRUE
217.160.0.215,TRUE
184.168.221.48,TRUE
184.168.221.40,TRUE
50.63.202.60,TRUE
23.229.226.96,TRUE
184.168.131.241,TRUE
192.254.234.233,TRUE
104.24.126.173,TRUE
184.168.221.61,TRUE
5.157.87.204,TRUE
5.196.14.225,TRUE
50.63.202.39,TRUE
198.185.159.145,TRUE
162.255.119.30,TRUE
199.33.112.226,TRUE
50.63.202.63,TRUE
23.227.38.65,TRUE
50.63.202.36,TRUE
50.63.202.47,TRUE
50.63.202.33,TRUE
50.63.202.44,TRUE
192.64.119.117,TRUE
146.66.91.25,TRUE
184.168.221.56,TRUE
50.63.202.55,TRUE
184.168.221.32,TRUE
67.205.13.150,TRUE
107.161.23.204,TRUE
184.168.221.52,TRUE
50.63.202.58,TRUE
184.168.221.41,TRUE
50.63.202.32,TRUE
45.81.226.17	#	Specifically	port	-	6677,TRUE
50.63.202.43,TRUE
50.63.202.61,TRUE
50.63.202.50,TRUE
104.27.170.137,TRUE
173.236.228.183,TRUE
184.168.221.50,TRUE
184.168.221.49,TRUE
50.63.202.40,TRUE
217.160.0.203,TRUE
50.63.202.48,TRUE
184.168.221.46,TRUE
209.99.64.76,TRUE
184.168.221.37,TRUE
184.168.221.54,TRUE
50.63.202.41,TRUE
141.138.168.124,TRUE
103.224.182.242,TRUE
184.168.221.62,TRUE
160.153.136.3,TRUE
52.0.7.30,TRUE
50.63.202.49,TRUE
198.54.115.76,TRUE
184.168.221.57,TRUE
213.186.33.5,TRUE
23.227.38.32,TRUE
199.34.228.69,TRUE
184.168.221.53,TRUE
81.17.18.194,TRUE
198.71.233.68,TRUE
184.168.221.58,TRUE
198.71.233.197,TRUE
148.72.53.138,TRUE
133.130.64.200,TRUE
195.201.179.80,TRUE
81.17.18.197,TRUE
184.168.221.44,TRUE
35.172.94.1,TRUE
50.251.226.120,TRUE
50.63.202.42,TRUE
184.168.221.34,TRUE
184.168.221.33,TRUE
192.64.119.36,TRUE
50.63.202.51,TRUE
81.17.18.196,TRUE
104.24.120.3,TRUE
50.63.202.34,TRUE
184.168.221.39,TRUE
181.214.86.147,TRUE
198.71.233.51,TRUE
34.202.57.77,TRUE
50.63.202.38,TRUE
162.241.253.135,TRUE
70.40.220.120,TRUE
50.63.202.46,TRUE
192.0.78.25,TRUE
198.252.98.91,TRUE
50.87.253.50,TRUE
162.241.24.41,TRUE
50.63.202.45,TRUE
70.32.23.53,TRUE
199.34.228.159,TRUE
184.168.221.36,TRUE
50.63.202.62,TRUE
50.63.202.35,TRUE
184.168.221.42,TRUE
184.168.221.51,TRUE
52.58.78.16,TRUE
98.137.244.37,TRUE
199.34.228.78,TRUE
217.160.0.211,TRUE
192.64.119.63,TRUE
95.170.70.28,TRUE
192.185.106.138,TRUE
192.232.249.154,TRUE
205.134.234.77,TRUE
162.255.118.194,TRUE
134.122.127.236,TRUE
74.208.236.79,TRUE
51.91.249.209,TRUE
50.63.202.54,TRUE
185.125.78.207,TRUE
184.168.221.43,TRUE
85.233.160.22,TRUE
52.0.217.44,TRUE
